Wind,000905.SH,000905.SH,000905.SH,000905.SH,000905.SH
,中证500,中证500,中证500,中证500,中证500
日期,开盘价,最高价,最低价,收盘价,成交量
38950,1339.517,1392.969,1329.817,1392.969,1181311062
38951,1392.234,1413.019,1389.675,1408.846,1406752248
38952,1409.877,1414.975,1398.542,1403.578,1352217316
38953,1402.829,1416.898,1391.732,1416.898,1282636549
38954,1418.115,1429.237,1416.1,1421.095,1500675996
38957,1425.484,1457.321,1425.484,1457.321,1922608293
38958,1460.521,1482.413,1456.081,1456.44,2439629982
38959,1452.737,1468.988,1445.913,1468.664,1613686934
38960,1469.862,1479.9,1463.195,1479.9,1797138460
38961,1477.478,1481.654,1447.029,1451.95,1810229152
38964,1456.678,1484.443,1455.304,1484.443,1629600174
38965,1488.017,1492.925,1480.782,1490.153,1948367651
38966,1491.834,1497.005,1476.37,1497.005,1785090778
38967,1497.539,1497.539,1465.044,1472.505,1434170606
38968,1470.828,1480.391,1469.408,1473.922,1191211021
38971,1474.47,1481.932,1453.594,1481.932,1419319725
38972,1481.996,1490.423,1479.043,1487.741,1531201575
38973,1488.138,1488.755,1464.853,1466.043,1493686140
38974,1464.454,1469.105,1448.544,1467.796,1501071118
38975,1468.059,1484.687,1466.84,1484.687,1552286894
38978,1487.864,1507.942,1485.958,1507.942,1749403344
38979,1510.142,1516.866,1502.65,1512.963,1940625400
38980,1510.35,1521.653,1499.76,1517.29,1760993754
38981,1516.255,1523.752,1511.155,1521.95,1668735200
38982,1522.785,1523.547,1505.147,1509.385,1848755137
38985,1508.2,1522.403,1499.477,1514.277,1709207491
38986,1513.468,1514.649,1497.404,1508.2,1593939963
38987,1506.801,1522.45,1505.043,1522.45,1378012729
38988,1523.034,1540.51,1521.416,1535.272,1619720179
38989,1537.697,1552.313,1537.697,1550.803,1916380081
38999,1562.489,1579.521,1560.325,1579.521,2112986639
39000,1581.113,1591.446,1571.795,1588.806,2527876912
39001,1587.637,1591.451,1573.48,1591.451,2160331809
39002,1591.386,1591.386,1567.012,1567.291,2263359373
39003,1566.009,1579.071,1561.452,1575.861,1767877458
39006,1577.248,1579.213,1563.842,1567.085,1801511242
39007,1566.741,1575.479,1562.044,1568.509,1632213534
39008,1568.133,1588.59,1565.566,1588.59,1553356227
39009,1589.394,1597.38,1586.814,1597.38,1885908261
39010,1598.131,1600.431,1586.56,1587.902,1902017717
39013,1586.824,1588.753,1529.47,1537.321,2113477654
39014,1535.848,1577.086,1535.848,1577.086,1799656850
39015,1579.577,1583.116,1550.837,1565.901,1987133420
39016,1568.815,1568.815,1551.284,1556.69,1586215910
39017,1555.109,1557.625,1524.973,1530.26,1677615361
39020,1527.008,1531.52,1504.132,1527.216,1387148355
39021,1526.526,1541.639,1523.971,1541.639,1409196148
39022,1541.611,1548.518,1531.104,1548.518,1568012459
39023,1548.2,1548.2,1530.846,1545.826,1589452305
39024,1545.676,1553.683,1544.18,1549.655,1423927162
39027,1540.082,1547.007,1531.552,1540.606,1490735928
39028,1540.801,1540.801,1507.517,1525.649,1632167386
39029,1524.976,1527.196,1517.188,1521.448,1209657459
